出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
"1120705","111","5530","龍巖","1143","988","911","728","55.93%","25人","4.46%"
"1120705","111","5536","聖暉*","1894","1700","1251","1048","23.00%","0人","0.00%"
"1120705","111","5543","桓鼎-KY","","","","","3.27%","0人","0.00%"
"1120705","111","5601","台聯櫃","1113","984","736","696","30.00%","0人","0.00%"
"1120705","111","5603","陸海","1042","888","852","802","42.86%","3人","1.12%"
"1120705","111","5604","中連","1060","886","669","676","25.00%","0人","0.00%"
"1120705","111","5609","中菲行","2952","2730","1657","1152","55.00%","0人","0.00%"
"1120705","111","5701","劍湖山","552","433","423","367","43.00%","12人","0.04%"
"1120705","111","5703","亞都麗緻","516","433","467","428","37.50%","10人","5.38%"
"1120705","111","5704","老爺知","717","615","495","419","45.83%","8人","0.31%"
"1120705","111","5864","致和證","709","560","502","467","51.85%","0人","0.00%"
"1120705","111","5878","台名","906","765","599","535","25.00%","0人","0.00%"
"1120705","111","5902","德記","1093","936","824","729","44.00%","0人","0.00%"
"1120705","111","5903","全家","570","489","797","745","44.17%","7人","0.14%"
"1120705","111","5904","寶雅","521","425","518","463","76.03%","16人","0.34%"
"1120705","111","5905","南仁湖","522","439","394","365","1.00%","6人","1.76%"
"1120705","111","6015","宏遠證","1153","974","876","711","54.93%","0人","0.00%"
"1120705","111","6016","康和證","1076","877","910","743","27.12%","0人","0.00%"
"1120705","111","6020","大展證","762","591","640","627","35.00%","0人","0.00%"
"1120705","111","6021","美好證","1280","1095","956","783","51.43%","0人","0.00%"
"1120705","111","6023","元大期貨","1767","1569","1244","1054","41.38%","0人","0.00%"
"1120705","111","6026","福邦證","938","784","937","831","33.00%","0人","0.00%"
"1120705","111","6101","寬魚國際","1116","969","620","588","25.00%","1人","4.35%"
"1120705","111","6103","合邦","916","760","476","427","33.33%","0人","0.00%"
"1120705","111","6104","創惟","2476","2217","2041","1766","17.11%","0人","0.00%"
"1120705","111","6109","亞元","1154","1005","714","651","46.15%","0人","0.00%"
"1120705","111","6111","大宇資","1217","1037","754","667","50.00%","0人","0.00%"
"1120705","111","6113","亞矽","1192","1003","952","918","53.85%","0人","0.00%"
"1120705","111","6114","久威","1221","1036","803","705","35.71%","0人","0.00%"
"1120705","111","6118","建達","773","634","593","522","27.27%","0人","0.00%"
"1120705","111","6121","新普","1909","1646","1382","1172","26.15%","0人","0.00%"
"1120705","111","6122","擎邦","1062","892","916","863","8.33%","0人","0.00%"
"1120705","111","6123","上奇","1080","906","860","810","11.11%","0人","0.00%"
"1120705","111","6124","業強","942","773","666","598","14.81%","0人","0.00%"
"1120705","111","6125","廣運","1305","1159","981","835","15.00%","0人","0.00%"
"1120705","111","6126","信音","1070","929","809","792","34.60%","0人","0.00%"
"1120705","111","6127","九豪","725","604","528","489","29.63%","2人","0.07%"
"1120705","111","6129","普誠","1371","1194","1097","981","25.00%","1人","0.56%"
"1120705","111","6130","星寶國際","992","856","711","500","33.00%","0人","0.00%"
"1120705","111","6134","萬旭","960","818","748","654","20.00%","0人","0.00%"
"1120705","111","6138","茂達","2316","1826","1679","1434","20.30%","0人","0.00%"
"1120705","111","6140","訊達電腦","923","771","659","537","31.58%","0人","0.00%"
"1120705","111","6143","振曜","953","810","792","669","29.30%","2人","0.39%"
"1120705","111","6144","得利影","609","481","537","484","71.00%","2人","1.92%"
"1120705","111","6146","耕興","1751","1606","1127","840","29.00%","27人","3.62%"
"1120705","111","6147","頎邦","1131","977","982","827","23.72%","21人","0.37%"
"1120705","111","6148","驊宏資","1203","1044","724","648","29.17%","0人","0.00%"
"1120705","111","6150","撼訊","1203","1029","782","680","28.00%","0人","0.00%"
"1120705","111","6151","晉倫","990","811","703","600","28.57%","0人","0.00%"
"1120705","111","6154","順發","549","441","477","437","41.37%","0人","0.00%"
"1120705","111","6156","松上","1685","1467","973","848","33.00%","0人","0.00%"
"1120705","111","6158","禾昌","1351","1192","926","804","11.18%","0人","0.00%"
"1120705","111","6160","欣技","993","833","822","736","29.63%","2人","0.80%"
"1120705","111","6161","捷波","1967","1784","975","765","40.00%","0人","0.00%"
"1120705","111","6163","華電網","1271","1105","994","828","22.00%","0人","0.00%"
"1120705","111","6167","久正","806","677","565","518","42.62%","0人","0.00%"
"1120705","111","6169","昱泉","895","746","593","526","33.33%","0人","0.00%"
"1120705","111","6170","統振","1962","1757","815","591","23.00%","0人","0.00%"
"1120705","111","6171","大城地產","896","676","641","637","83.33%","0人","0.00%"
"1120705","111","6173","信昌電","786","660","750","555","32.00%","2人","0.28%"
"1120705","111","6174","安碁","721","605","550","483","44.44%","1人","0.43%"
"1120705","111","6175","立敦","1068","929","810","749","0.00%","0人","0.00%"
"1120705","111","6179","亞通","1143","951","876","806","23.81%","0人","0.00%"
"1120705","111","6180","橘子","1514","1329","1025","758","6.40%","0人","0.00%"
"1120705","111","6182","合晶","1015","662","875","796","18.00%","3人","0.25%"
"1120705","111","6185","幃翔","1003","870","536","505","20.00%","0人","0.00%"
"1120705","111","6186","新潤","2216","1901","1564","1434","50.00%","0人","0.00%"
"1120705","111","6187","萬潤","1591","1398","1198","1040","9.89%","0人","0.00%"
"1120705","111","6188","廣明","2581","2151","1485","1202","19.78%","0人","0.00%"
"1120705","111","6190","萬泰科","1336","1179","1035","881","41.00%","0人","0.00%"
"1120705","111","6194","育富","1027","791","574","554","0.00%","0人","0.00%"
"1120705","111","6195","詩肯","775","644","637","577","85.00%","0人","0.00%"
"1120705","111","6198","瑞築","684","595","752","643","6.67%","0人","0.00%"
"1120705","111","6199","天品","933","741","668","330","10.34%","0人","0.00%"
"1120705","111","6203","海韻電","1046","888","884","687","51.40%","0人","0.00%"
"1120705","111","6204","艾華","862","723","641","540","56.25%","0人","0.00%"
"1120705","111","6207","雷科","863","730","690","621","28.13%","2人","1.06%"
"1120705","111","6208","日揚","1287","1143","975","826","12.00%","6人","1.29%"
"1120705","111","6210","慶生","736","616","621","571","42.86%","0人","0.00%"
"1120705","111","6212","理銘","1498","1331","1321","1201","50.00%","0人","0.00%"
"1120705","111","6217","中探針","1028","716","649","531","20.04%","1人","0.40%"
"1120705","111","6218","豪勉","1139","983","952","829","22.00%","0人","0.00%"
"1120705","111","6219","富旺","874","708","630","592","36.36%","0人","0.00%"
"1120705","111","6220","岳豐","1168","1042","821","648","27.00%","0人","0.00%"
"1120705","111","6221","晉泰","1436","1252","1037","879","10.00%","0人","0.00%"
