出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
"1120705","111","8067","志旭","726","589","438","373","8.00%","0人","0.00%"
"1120705","111","8068","全達","1176","1013","879","755","33.33%","0人","0.00%"
"1120705","111","8069","元太","1760","1569","1302","1089","16.40%","14人","0.40%"
"1120705","111","8071","能率網通","1165","1024","592","590","30.77%","0人","0.00%"
"1120705","111","8074","鉅橡","732","612","577","527","11.00%","0人","0.00%"
"1120705","111","8076","伍豐","1134","1001","961","815","29.73%","0人","0.00%"
"1120705","111","8077","洛碁","559","448","460","446","38.40%","0人","0.00%"
"1120705","111","8080","永利聯合","718","553","563","533","33.00%","0人","0.00%"
"1120705","111","8083","瑞穎","1074","888","892","814","4.58%","0人","0.00%"
"1120705","111","8084","巨虹","1256","1073","862","758","50.00%","0人","0.00%"
"1120705","111","8085","福華","631","531","505","457","18.75%","6人","2.50%"
"1120705","111","8086","宏捷科","726","596","653","592","5.08%","19人","2.15%"
"1120705","111","8087","華鎂鑫","1094","949","802","614","66.67%","0人","0.00%"
"1120705","111","8088","品安","687","576","548","452","35.00%","597人","0.01%"
"1120705","111","8089","康全電訊","1182","996","1058","962","23.64%","0人","0.00%"
"1120705","111","8091","翔名","994","856","746","626","20.93%","0人","0.00%"
"1120705","111","8092","建暐","626","519","518","477","14.29%","2人","1.11%"
"1120705","111","8093","保銳","995","847","611","554","50.00%","0人","0.00%"
"1120705","111","8096","擎亞","1468","1257","1321","1092","2.70%","0人","0.00%"
"1120705","111","8097","常珵","1510","1376","785","449","28.57%","0人","0.00%"
"1120705","111","8099","大世科","929","779","772","655","30.00%","10人","1.76%"
"1120705","111","8107","大億金茂","890","758","585","498","4.20%","0人","0.00%"
"1120705","111","8109","博大","907","780","811","717","34.62%","0人","0.00%"
"1120705","111","8111","立碁","848","717","665","575","37.50%","0人","0.00%"
"1120705","111","8121","越峰","1170","1012","858","781","13.43%","0人","0.00%"
"1120705","111","8147","正淩","1286","1134","805","683","37.14%","0人","0.00%"
"1120705","111","8155","博智","1003","847","702","634","23.50%","14人","1.70%"
"1120705","111","8171","天宇","1056","714","550","512","31.25%","0人","0.00%"
"1120705","111","8176","智捷","1064","861","790","734","37.50%","0人","0.00%"
"1120705","111","8182","加高","690","566","566","468","34.09%","0人","0.00%"
"1120705","111","8183","精星","797","684","629","491","35.71%","1人","0.40%"
"1120705","111","8227","巨有科技","1681","1234","905","1094","14.29%","0人","0.00%"
"1120705","111","8234","新漢","1006","866","714","624","22.15%","0人","0.00%"
"1120705","111","8240","華宏","886","746","712","622","12.05%","5人","0.73%"
"1120705","111","8255","朋程","1012","857","792","658","15.63%","2人","0.28%"
"1120705","111","8277","商丞","1026","821","707","564","16.67%","0人","0.00%"
"1120705","111","8279","生展","825","693","692","617","29.73%","0人","0.00%"
"1120705","111","8284","三竹","1118","951","871","793","13.70%","6人","1.75%"
"1120705","111","8289","泰藝","1027","886","815","675","40.00%","0人","0.00%"
"1120705","111","8291","尚茂","888","768","569","493","33.33%","0人","0.00%"
"1120705","111","8299","群聯","2431","2185","2108","1894","17.90%","1人","0.00%"
"1120705","111","8342","益張","728","618","583","462","16.67%","8人","3.20%"
"1120705","111","8349","恒耀國際","764","628","664","598","46.00%","1人","0.18%"
"1120705","111","8354","冠好","696","595","528","511","18.18%","0人","0.00%"
"1120705","111","8358","金居","951","730","781","751","11.80%","2人","0.62%"
"1120705","111","8383","千附","805","678","681","600","28.57%","11人","2.40%"
"1120705","111","8390","金益鼎","1107","978","892","807","42.85%","1人","0.70%"
"1120705","111","8401","白紗科","808","670","671","607","29.03%","10人","2.04%"
"1120705","111","8403","盛弘","1149","994","890","719","50.00%","1人","0.60%"
"1120705","111","8409","商之器","926","782","706","647","29.00%","0人","0.00%"
"1120705","111","8410","森田","831","695","691","669","19.30%","2人","0.89%"
"1120705","111","8415","大國鋼","2353","2091","1918","1328","25.00%","0人","0.00%"
"1120705","111","8416","實威","1090","924","963","840","30.00%","0人","0.00%"
"1120705","111","8418","捷必勝-KY","","","","","8.00%","0人","0.00%"
"1120705","111","8420","明揚","1107","967","977","887","20.24%","11人","1.66%"
"1120705","111","8421","旭源","880","772","622","513","28.57%","0人","0.00%"
"1120705","111","8423","保綠-KY","","","","","38.46%","2人","1.44%"
"1120705","111","8424","惠普","925","779","756","693","10.00%","2人","1.35%"
"1120705","111","8426","紅木-KY","","","","","1.70%","19人","5.40%"
"1120705","111","8431","匯鑽科","1005","845","613","640","13.00%","0人","0.00%"
"1120705","111","8432","東生華","1551","1331","1237","1042","57.14%","0人","0.00%"
"1120705","111","8433","弘帆","1818","1700","746","655","80.00%","0人","0.00%"
"1120705","111","8435","鉅邁","1259","1094","1160","1118","50.00%","1人","1.08%"
"1120705","111","8436","大江","1014","845","916","811","48.50%","11人","1.00%"
"1120705","111","8437","大地-KY","","","","","14.55%","0人","0.00%"
"1120705","111","8440","綠電","811","686","670","577","50.00%","2人","2.00%"
"1120705","111","8444","綠河-KY","","","","","34.88%","0人","0.00%"
"1120705","111","8446","華研","1217","1035","758","627","46.00%","0人","0.00%"
"1120705","111","8450","霹靂","720","601","494","446","21.00%","0人","0.00%"
"1120705","111","8455","大拓-KY","","","","","0.00%","0人","0.00%"
"1120705","111","8472","夠麻吉","934","619","745","617","60.00%","0人","0.00%"
"1120705","111","8476","台境","1597","1449","972","752","7.69%","0人","0.00%"
"1120705","111","8477","創業家","942","785","693","563","62.50%","0人","0.00%"
"1120705","111","8489","三貝德","677","549","474","414","31.82%","0人","0.00%"
"1120705","111","8905","裕國","683","577","561","518","22.73%","11人","5.31%"
"1120705","111","8906","花王","734","622","559","486","25.00%","0人","0.00%"
"1120705","111","8908","欣雄","1072","884","762","649","47.37%","0人","0.00%"
"1120705","111","8916","光隆","1424","1207","966","771","54.00%","0人","0.00%"
"1120705","111","8917","欣泰","1228","1053","1060","949","14.29%","0人","0.00%"
"1120705","111","8921","沈氏","895","740","694","627","37.00%","0人","0.00%"
"1120705","111","8923","時報","925","776","600","609","18.00%","0人","0.00%"
"1120705","111","8924","大田","1768","1577","1351","1213","41.67%","0人","0.00%"
"1120705","111","8927","北基","505","422","477","435","4.71%","25人","2.87%"
"1120705","111","8928","鉅明","607","498","539","505","19.60%","6人","0.48%"
"1120705","111","8929","富堡","622","498","519","472","50.00%","2人","2.08%"
"1120705","111","8930","青鋼","1093","931","767","689","10.00%","6人","5.31%"
"1120705","111","8931","大汽電","1345","1172","1060","961","6.12%","0人","0.00%"
"1120705","111","8932","智通","695","574","491","442","38.00%","0人","0.00%"
"1120705","111","8933","愛地雅","681","539","527","474","41.94%","0人","0.00%"
"1120705","111","8935","邦泰","775","668","567","529","36.36%","1人","1.15%"
"1120705","111","8936","國統","947","807","685","566","27.27%","0人","0.00%"
"1120705","111","8937","合騏","603","502","431","408","11.36%","0人","0.00%"
"1120705","111","8938","明安","1085","945","881","738","26.44%","7人","0.53%"
"1120705","111","8941","關中","1563","1399","815","825","45.45%","0人","0.00%"
"1120705","111","8942","森鉅","1033","884","663","565","33.33%","0人","0.00%"
"1120705","111","9949","琉園","666","546","504","466","44.00%","0人","0.00%"
"1120705","111","9950","萬國通","548","471","460","432","29.00%","0人","0.00%"
"1120705","111","9951","皇田","845","696","644","559","25.53%","2人","0.34%"
"1120705","111","9960","邁達康","747","660","588","528","89.00%","0人","0.00%"
"1120705","111","9962","有益","945","800","711","716","14.29%","1人","1.12%"
